time_s,time_h,signal_clean,signal_noisy,signal_noisy_resolved
0.0,0.0,0.0,,
10.0,0.002777777777777778,0.03759997006929128,,
20.0,0.005555555555555556,0.07460696614945643,,
30.0,0.008333333333333333,0.11043736580540339,,
40.0,0.011111111111111112,0.1445261022305146,0.022812766348910718,0.0
50.0,0.013888888888888888,0.17633557568774194,-0.11985521898467187,-0.0
60.0,0.016666666666666666,0.2053641317786066,-0.08722001573152584,-0.0
70.0,0.019444444444444445,0.23115397283273675,-0.1656635617608505,-0.0
80.0,0.022222222222222223,0.25329837765060453,-0.00545137519498235,-0.0
90.0,0.025,0.2714481157398059,0.018948641621558106,0.0
100.0,0.027777777777777776,0.285316954888546,0.10696208321407989,0.0
110.0,0.030555555555555555,0.2946861752186066,0.16791322254419017,0.0
120.0,0.03333333333333333,0.2994080185284815,0.2123782534843629,0.0
130.0,0.03611111111111111,0.2994080185284815,0.3307349783752701,0.0
140.0,0.03888888888888889,0.2946861752186066,0.42315432507901746,0.0
150.0,0.041666666666666664,0.285316954888546,0.31759362983514383,0.0
160.0,0.044444444444444446,0.2714481157398058,0.3296903832207192,0.0
170.0,0.04722222222222222,0.25329837765060453,0.3213398626160434,0.0
180.0,0.05,0.23115397283273675,0.4400424201060902,0.0
190.0,0.05277777777777778,0.20536413177860655,0.2984029580073353,0.0
200.0,0.05555555555555555,0.17633557568774197,0.1867696182928972,0.0
210.0,0.058333333333333334,0.14452610223051457,0.17661729039864213,0.0
220.0,0.06111111111111111,0.11043736580540332,0.09011326750841148,0.0
230.0,0.06388888888888888,0.07460696614945644,0.1562633022651671,0.0
240.0,0.06666666666666667,0.03759997006929123,0.2119404696071313,0.0
250.0,0.06944444444444445,3.6739403974420595e-17,0.21543884782869818,0.0
260.0,0.07222222222222222,-0.037599970069291284,0.1436590605401845,0.0
270.0,0.075,-0.0746069661494565,-0.0631587076966695,-0.0
280.0,0.07777777777777778,-0.11043736580540338,0.006606870748489652,0.0
290.0,0.08055555555555556,-0.1445261022305146,-0.005344213359808888,-0.0
300.0,0.08333333333333333,-0.176335575687742,-0.06493946556249826,-0.0
310.0,0.08611111111111111,-0.2053641317786066,-0.12169717862962288,-0.0
320.0,0.08888888888888889,-0.2311539728327368,-0.2850003814487436,-0.0
330.0,0.09166666666666666,-0.2532983776506046,-0.3474672129687378,-0.0
340.0,0.09444444444444444,-0.2714481157398058,-0.3166834158663109,-0.0
350.0,0.09722222222222222,-0.285316954888546,-0.39808432555084594,-0.0
360.0,0.1,-0.2946861752186066,-0.3890956551881905,-0.0
370.0,0.10277777777777777,-0.2994080185284815,-0.2720825502007733,-0.0
380.0,0.10555555555555556,-0.2994080185284815,-0.38167769529162004,-0.0
390.0,0.10833333333333334,-0.29468617521860657,-0.2728976771884719,-0.0
400.0,0.1111111111111111,-0.2853169548885461,-0.12140194399589133,-0.0
410.0,0.11388888888888889,-0.2714481157398059,-0.08303104234555814,-0.0
420.0,0.11666666666666667,-0.2532983776506045,-0.022308445593688737,-0.0
430.0,0.11944444444444445,-0.2311539728327367,-0.13409205566395732,-0.0
440.0,0.12222222222222222,-0.2053641317786065,-0.16387790036486705,-0.0
450.0,0.125,-0.176335575687742,-0.03973355052299748,-0.0
460.0,0.12777777777777777,-0.1445261022305146,-0.16672154105730674,-0.0
470.0,0.13055555555555556,-0.11043736580540335,-0.037786376994479884,-0.0
480.0,0.13333333333333333,-0.07460696614945635,-0.12514362902292642,-0.0
490.0,0.1361111111111111,-0.03759997006929113,-0.22164975002763287,-0.0
500.0,0.1388888888888889,-7.347880794884119e-17,-0.23096452243813081,-0.0
510.0,0.14166666666666666,0.03759997006929125,-0.14866742028575794,-0.0
520.0,0.14444444444444443,0.07460696614945646,0.03668290686804002,0.0
530.0,0.14722222222222223,0.11043736580540346,0.12514920261020956,0.0
540.0,0.15,0.14452610223051468,0.13604761255944645,0.0
550.0,0.1527777777777778,0.17633557568774186,0.19807750606576902,0.0
560.0,0.15555555555555556,0.20536413177860657,0.2398654275846156,0.0
570.0,0.15833333333333333,0.23115397283273675,0.35988609561670537,0.0
580.0,0.16111111111111112,0.25329837765060453,0.4655338811242179,0.0
590.0,0.1638888888888889,0.2714481157398059,0.48648025994361965,0.0
600.0,0.16666666666666666,0.28531695488854614,0.47948429386771363,0.0
610.0,0.16944444444444445,0.29468617521860657,0.19813771916586922,0.0
620.0,0.17222222222222222,0.2994080185284815,0.25626507140894816,0.0
630.0,0.175,0.2994080185284815,0.2502270593389615,0.0
640.0,0.17777777777777778,0.29468617521860657,0.3168433598561804,0.0
650.0,0.18055555555555555,0.2853169548885461,0.4504497860056495,0.0
660.0,0.18333333333333332,0.27144811573980576,0.1369117097821847,0.0
670.0,0.18611111111111112,0.25329837765060453,0.15171969202220797,0.0
680.0,0.18888888888888888,0.2311539728327369,0.14537931193890927,0.0
690.0,0.19166666666666668,0.20536413177860652,0.029627876891226188,0.0
